"","B1","P1","P4","S1","S2","S5"
"LC08_CU_007013_20160914_20171018_C01_V01_SRB6",74.5,44,86.5,166.333333333333,166,90
"LC08_CU_007013_20160914_20171018_C01_V01_SRB7",65.5,43.3333333333333,77.5,138.333333333333,141.333333333333,75
"LC08_CU_007013_20161009_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20161009_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20161009_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20161009_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20161009_20171018_C01_V01_SRB1",234,NA,NA,245.333333333333,269,251
"LC08_CU_007013_20161009_20171018_C01_V01_SRB2",214,NA,NA,226.333333333333,255,226
"LC08_CU_007013_20161009_20171018_C01_V01_SRB3",210,NA,NA,199.666666666667,244.333333333333,203.5
"LC08_CU_007013_20161009_20171018_C01_V01_SRB4",121,NA,NA,123.666666666667,165,130.5
"LC08_CU_007013_20161009_20171018_C01_V01_SRB5",58,NA,NA,76.3333333333333,119.333333333333,79
"LC08_CU_007013_20161009_20171018_C01_V01_SRB6",38,NA,NA,60,124,66.5
"LC08_CU_007013_20161009_20171018_C01_V01_SRB7",29.5,NA,NA,47,107.333333333333,50
"LC08_CU_007013_20161110_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20161110_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20161110_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20161110_20171018_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20161110_20171018_C01_V01_SRB1",307.5,NA,NA,244,288,255.5
"LC08_CU_007013_20161110_20171018_C01_V01_SRB2",335.5,NA,NA,222.666666666667,272.333333333333,240
"LC08_CU_007013_20161110_20171018_C01_V01_SRB3",415,NA,NA,203.333333333333,258.333333333333,220.5
"LC08_CU_007013_20161110_20171018_C01_V01_SRB4",207.5,NA,NA,123.666666666667,178.333333333333,140.5
"LC08_CU_007013_20161110_20171018_C01_V01_SRB5",47,NA,NA,61.6666666666667,126,83.5
"LC08_CU_007013_20161110_20171018_C01_V01_SRB6",25.5,NA,NA,46,127.666666666667,68
"LC08_CU_007013_20161110_20171018_C01_V01_SRB7",15,NA,NA,35.3333333333333,117,54
"LC08_CU_007013_20161203_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20161203_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20161203_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20161203_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20161203_20171018_C01_V01_SRB1",268.5,254.666666666667,280.5,12.6666666666667,57,29
"LC08_CU_007013_20161203_20171018_C01_V01_SRB2",308.5,237,288.5,67.3333333333333,104.666666666667,69
"LC08_CU_007013_20161203_20171018_C01_V01_SRB3",453,212.333333333333,282.5,111.666666666667,177.666666666667,118.5
"LC08_CU_007013_20161203_20171018_C01_V01_SRB4",215,83.3333333333333,107.5,60.3333333333333,126.666666666667,64.5
"LC08_CU_007013_20161203_20171018_C01_V01_SRB5",41,28.6666666666667,27,29,90,30
"LC08_CU_007013_20161203_20171018_C01_V01_SRB6",38.5,29.6666666666667,30.5,36.3333333333333,105,41
"LC08_CU_007013_20161203_20171018_C01_V01_SRB7",31.5,27.3333333333333,27.5,29.3333333333333,96,30.5
"LC08_CU_007013_20161219_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20161219_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20161219_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20161219_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20161219_20171018_C01_V01_SRB1",268.5,303.333333333333,309,20.6666666666667,62.6666666666667,29.5
"LC08_CU_007013_20161219_20171018_C01_V01_SRB2",302.5,286,298.5,78,112.666666666667,83
"LC08_CU_007013_20161219_20171018_C01_V01_SRB3",441,247.666666666667,270,138.666666666667,185.666666666667,145
"LC08_CU_007013_20161219_20171018_C01_V01_SRB4",226.5,116,126.5,72.3333333333333,126.333333333333,85
"LC08_CU_007013_20161219_20171018_C01_V01_SRB5",35.5,65,55,39,84,47.5
"LC08_CU_007013_20161219_20171018_C01_V01_SRB6",31,54,46.5,48.6666666666667,116.333333333333,57.5
"LC08_CU_007013_20161219_20171018_C01_V01_SRB7",24.5,42,38.5,38.3333333333333,95.6666666666667,45
"LC08_CU_007013_20170104_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20170104_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20170104_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20170104_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20170104_20171018_C01_V01_SRB1",182,146,154,NA,NA,NA
"LC08_CU_007013_20170104_20171018_C01_V01_SRB2",236,135.666666666667,162.5,12.3333333333333,31.6666666666667,6
"LC08_CU_007013_20170104_20171018_C01_V01_SRB3",434,121,154.5,81.3333333333333,102,71.5
"LC08_CU_007013_20170104_20171018_C01_V01_SRB4",202,11.3333333333333,20.5,22,43,19
"LC08_CU_007013_20170104_20171018_C01_V01_SRB5",NA,NA,NA,6.66666666666667,28,3.5
"LC08_CU_007013_20170104_20171018_C01_V01_SRB6",12,9,6.5,26,71.6666666666667,30
"LC08_CU_007013_20170104_20171018_C01_V01_SRB7",19.5,6.66666666666667,6.5,21.3333333333333,68.3333333333333,23.5
"LC08_CU_007013_20170205_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20170205_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20170205_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20170205_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20170205_20171018_C01_V01_SRB1",184.5,130,135,NA,16,NA
"LC08_CU_007013_20170205_20171018_C01_V01_SRB2",265.5,124.333333333333,133,27,79,35
"LC08_CU_007013_20170205_20171018_C01_V01_SRB3",531,117.333333333333,130,98,174,101
"LC08_CU_007013_20170205_20171018_C01_V01_SRB4",357.5,7.66666666666667,16,41,114.666666666667,44.5
"LC08_CU_007013_20170205_20171018_C01_V01_SRB5",2,NA,NA,15.3333333333333,93,19
"LC08_CU_007013_20170205_20171018_C01_V01_SRB6",10.5,14.6666666666667,8.5,27,93.6666666666667,30.5
"LC08_CU_007013_20170205_20171018_C01_V01_SRB7",14,18.3333333333333,10.5,22,85,24.5
"LC08_CU_007013_20170221_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20170221_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20170221_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20170221_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20170221_20171018_C01_V01_SRB1",146,154.333333333333,159.5,NA,NA,NA
"LC08_CU_007013_20170221_20171018_C01_V01_SRB2",166.5,130,141,8.33333333333333,36.6666666666667,9.5
"LC08_CU_007013_20170221_20171018_C01_V01_SRB3",338.5,91,94.5,92,144,105
"LC08_CU_007013_20170221_20171018_C01_V01_SRB4",189,8.33333333333333,10.5,35,67.6666666666667,38.5
