"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"104","S2",7,2,68,0,NA,65,312.666666666667,263.666666666667,297.666666666667,289.666666666667,250.333333333333,NA,189.333333333333,10.6666666666667,2007-10-09,12.02398359,1.67,2007-10-09,0
"105","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-11-17,10.35768258,3.666666667,2007-11-13,4
"106","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-12-03,5.020110033,2,2007-12-04,1
"107","S2",7,2,68,0,NA,9,242,336,215,203.333333333333,91,NA,72,32,2008-01-20,18.61228866,4.5,2008-01-17,3
"108","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-01-29,54.80415088,11.5,2008-02-12,14
"109","S2",7,2,68,0,NA,9,302,361,310,264,212,NA,169,10.6666666666667,2008-03-24,8.83898181,3.311529027,2008-03-13,11
"110","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-04-02,3.018336061,1.5625,2008-04-01,1
"111","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-05-11,22.69634438,8.75,2008-05-08,3
"112","S2",7,2,96,0,NA,8,695,888,788.5,715,667,NA,563.5,21.3333333333333,2008-06-12,55.09448983,19.95,2008-06-10,2
"113","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-07-07,36.51790989,15,2008-07-08,1
"114","S2",7,2,68,0,NA,8,343,534,425,362,253.333333333333,NA,180.666666666667,40,2008-07-30,55.14233598,13.875,2008-08-06,7
"115","S2",7,2,68,0,NA,9,309.333333333333,376,269.333333333333,203.333333333333,108,NA,106,40,2008-09-09,12.54570799,4.1,2008-09-09,0
"116","S2",7,2,68,0,NA,9,245.666666666667,252,226,187.333333333333,109,NA,116,40,2008-10-18,20.92958318,2.816666667,2008-10-15,3
"117","S2",7,2,68,0,NA,8,325.333333333333,323,250.333333333333,279,180.666666666667,NA,155,21.3333333333333,2008-11-12,23.08636803,3.428571429,2008-11-11,1
"118","S2",7,2,68,0,NA,9,214.666666666667,262.666666666667,210.666666666667,156.666666666667,116.333333333333,NA,85.3333333333333,32,2008-12-05,15.99936989,2.104166667,2008-12-09,4
"119","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-01-15,1.675021438,1.025,2009-01-13,2
"120","S2",7,2,68,0,NA,28,263,245.333333333333,184.333333333333,207.333333333333,106.333333333333,NA,66,32,2009-01-31,7.913557761,0.636363636,2009-02-10,10
"121","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-03-11,5.504533591,1.1,2009-03-10,1
"122","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-03-11,9.703391879,NA,2009-03-13,2
"123","S2",7,2,68,0,NA,8,259.666666666667,268,184.666666666667,166.333333333333,113.333333333333,NA,101.666666666667,40,2009-04-21,8.824182343,1.92,2009-04-14,7
"124","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-05-14,6.432390595,2.46,2009-05-12,2
"125","S2",7,2,138.666666666667,0,NA,8,976.666666666667,1232.33333333333,1142.66666666667,1018.33333333333,935,NA,800,40,2009-06-15,14.49759035,NA,2009-06-09,6
"126","S2",7,2,68,0,NA,8,538,719.666666666667,617.666666666667,525.666666666667,418.333333333333,NA,338,37.3333333333333,2009-07-17,20.63155443,NA,2009-07-16,1
"127","S2",7,2,96,0,NA,8,517.333333333333,641,570,531,407.666666666667,NA,333,40,2009-08-02,13.43950024,NA,2009-08-10,8
"128","S2",7,2,68,0,NA,10,337,361,258.333333333333,220.333333333333,149.666666666667,NA,98.6666666666667,40,2009-09-12,12.4524348,NA,2009-09-10,2
"129","S2",7,2,68,0,NA,8,249,232,194,182,124.666666666667,NA,102.333333333333,40,2009-10-14,7.549473208,NA,2009-10-13,1
"130","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-11-15,10.72824125,NA,2009-11-10,5
"131","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-12-17,10.32089095,NA,2009-12-16,1
"132","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-01-09,9.324196291,NA,2010-01-13,4
"133","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-02-26,62.77437103,NA,2010-02-15,11
"134","S2",7,2,68,0,NA,8,213.333333333333,275.333333333333,218.333333333333,229,131.666666666667,NA,93.3333333333333,32,2010-03-14,11.34554998,NA,2010-03-10,4
"135","S2",7,2,68,0,NA,9,316.333333333333,383.333333333333,331.666666666667,322,217,NA,132,29.3333333333333,2010-04-15,17.32277498,NA,2010-04-12,3
"136","S2",7,2,68,0,NA,8,305,368,301.333333333333,249.666666666667,151.333333333333,NA,105.333333333333,40,2010-05-10,7.15262098,NA,2010-05-12,2
"137","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-06-02,6.254518858,NA,2010-06-10,8
"138","S2",7,2,68,0,NA,8,404.666666666667,501.666666666667,354.333333333333,276,171,NA,119,40,2010-07-13,15.23922746,NA,2010-07-14,1
"139","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-08-14,7.078,NA,2010-08-11,3
"140","S2",7,2,68,0,NA,8,309,325,239,272,93,NA,23,13.3333333333333,2010-09-15,10.2189156,NA,2010-09-20,5
"141","S2",7,2,68,0,NA,9,217,208,130.5,145.5,87,NA,77.5,21.3333333333333,2010-10-08,7.499708446,NA,2010-10-11,3
