"","B1","P1","P4","S1","S2","S5"
"LE07_CU_007013_20070829_20170923_C01_V01_SRB5",66,158,135,NA,NA,274
"LE07_CU_007013_20070829_20170923_C01_V01_SRB7",35,135,107,NA,NA,203.5
"LE07_CU_007013_20070829_20170923_C01_V01_SRCLOUDQA",32,36,32,0,0,32
"LE07_CU_007013_20071009_20170923_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20071009_20170923_C01_V01_PIXELQA",68,NA,NA,68,68,68
"LE07_CU_007013_20071009_20170923_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20071009_20170923_C01_V01_SRATMOSOPACITYQA",31,NA,NA,61.3333333333333,65,63
"LE07_CU_007013_20071009_20170923_C01_V01_SRB1",349.5,NA,NA,201.666666666667,312.666666666667,288
"LE07_CU_007013_20071009_20170923_C01_V01_SRB2",363.5,NA,NA,198.666666666667,263.666666666667,251
"LE07_CU_007013_20071009_20170923_C01_V01_SRB3",338,NA,NA,162.333333333333,297.666666666667,239
"LE07_CU_007013_20071009_20170923_C01_V01_SRB4",346,NA,NA,159,289.666666666667,268
"LE07_CU_007013_20071009_20170923_C01_V01_SRB5",236,NA,NA,107.666666666667,250.333333333333,165.5
"LE07_CU_007013_20071009_20170923_C01_V01_SRB7",191.5,NA,NA,106,189.333333333333,148
"LE07_CU_007013_20071009_20170923_C01_V01_SRCLOUDQA",0,0,0,32,10.6666666666667,32
"LE07_CU_007013_20071016_20170923_C01_V01_LINEAGEQA",1,1,1,2,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_PIXELQA",68,77.3333333333333,72,68,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_RADSATQA",0,0,0,0,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRATMOSOPACITYQA",8,20,20,8,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB1",239,476.333333333333,404,225,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB2",250,467,422,210,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB3",189,354,232.5,146.333333333333,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB4",136.5,295,153,136,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB5",65,252,91.5,69,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRB7",40.5,177,55,72.6666666666667,NA,NA
"LE07_CU_007013_20071016_20170923_C01_V01_SRCLOUDQA",32,40,40,32,0,0
"LE07_CU_007013_20071025_20170923_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LE07_CU_007013_20071025_20170923_C01_V01_PIXELQA",68,NA,NA,68,68,68
"LE07_CU_007013_20071025_20170923_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LE07_CU_007013_20071025_20170923_C01_V01_SRATMOSOPACITYQA",8,NA,NA,8,9,9
"LE07_CU_007013_20071025_20170923_C01_V01_SRB1",308.5,NA,NA,247.333333333333,259,241.5
"LE07_CU_007013_20071025_20170923_C01_V01_SRB2",334.5,NA,NA,223.666666666667,250.333333333333,231
"LE07_CU_007013_20071025_20170923_C01_V01_SRB3",216.5,NA,NA,167.333333333333,193.666666666667,179.5
"LE07_CU_007013_20071025_20170923_C01_V01_SRB4",123,NA,NA,98.6666666666667,175.333333333333,121
"LE07_CU_007013_20071025_20170923_C01_V01_SRB5",69,NA,NA,63.6666666666667,111.666666666667,83
"LE07_CU_007013_20071025_20170923_C01_V01_SRB7",43,NA,NA,38,88,44
"LE07_CU_007013_20071025_20170923_C01_V01_SRCLOUDQA",32,0,0,37.3333333333333,40,32
"LE07_CU_007013_20071101_20170923_C01_V01_LINEAGEQA",1,1,1,2,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_PIXELQA",68,68,68,68,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_RADSATQA",0,0,0,0,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRATMOSOPACITYQA",8,9,8,9,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB1",264,292.666666666667,282.5,218.333333333333,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB2",372.5,281.333333333333,294.5,209,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB3",246,172.333333333333,211.5,174.333333333333,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB4",129,113,113,114,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB5",71,56.6666666666667,12,66,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRB7",60,39.3333333333333,30,59,NA,NA
"LE07_CU_007013_20071101_20170923_C01_V01_SRCLOUDQA",32,32,36,32,0,0
"LE07_CU_007013_20071117_20170923_C01_V01_LINEAGEQA",1,1,1,2,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_PIXELQA",68,224,224,68,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_RADSATQA",0,0,0,0,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRATMOSOPACITYQA",8,9,8,8,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB1",368,780.333333333333,816,222,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB2",567.5,765,879.5,288,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB3",412.5,739.333333333333,783,198.5,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB4",132,705,723,150,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB5",96,587.333333333333,582,79.5,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRB7",49.5,509,450,50,NA,NA
"LE07_CU_007013_20071117_20170923_C01_V01_SRCLOUDQA",32,27.3333333333333,40,21.3333333333333,0,0
"LE07_CU_007013_20071203_20170923_C01_V01_LINEAGEQA",1,1,1,NA,NA,2
"LE07_CU_007013_20071203_20170923_C01_V01_PIXELQA",68,68,68,NA,NA,68
"LE07_CU_007013_20071203_20170923_C01_V01_RADSATQA",0,0,0,NA,NA,0
"LE07_CU_007013_20071203_20170923_C01_V01_SRATMOSOPACITYQA",9,9,9,NA,NA,9
